code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
XUN,OAG,Sun Valley Bus Station,43.50278,-114.31667,-700,t,NULL,5,en-us,f,NULL,f,NULL
XVM,OAG,Vuokatti Bus Station,64.13333,28.26667,200,t,NULL,5,en-us,f,NULL,f,NULL
ZAK,OAG,Chiusa/Klausen Bus Station,46.63333,11.56667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZAW,OAG,Nykobing Mors Bus Station,56.8,8.86,100,t,NULL,5,en-us,f,NULL,f,NULL
ZAY,OAG,Antwerp De Keyserlei Bus Station,51.21694,4.41694,100,t,NULL,5,en-us,f,NULL,f,NULL
ZBC,OAG,Birmingham Colmore Row Bus Station,52.5,-1.33333,0,t,NULL,5,en-us,f,NULL,f,NULL
ZBN,OAG,Bolzano/Bozen Bus Station,46.51667,11.36667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZBS,OAG,Phoenix Mesa Bus Station,33.41667,-115.83333,-700,t,NULL,5,en-us,f,NULL,f,NULL
ZBU,OAG,Aarhus Limousine Bus Station,56.15,10.21667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZBV,OAG,Beaver Creek Van Station,38.36667,-104.96667,-700,t,f,5,en-us,f,907f09ba-0622-4838-a6b0-60c3448f8242,f,NULL
ZCD,OAG,Bamberg Bus Station,49.90083,10.89861,100,t,NULL,5,en-us,f,NULL,f,NULL
ZDB,OAG,Adelboden Bus Station,46.48333,7.56667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZDN,OAG,Brno Bus Station,49.2,16.63333,100,t,NULL,5,en-us,f,NULL,f,NULL
ZEQ,OAG,Dewsbury Bus Station,53.4,-1.61667,0,t,NULL,5,en-us,f,NULL,f,NULL
ZFC,OAG,Bradford Bus Station,53.8,-1.75,0,t,NULL,5,en-us,f,NULL,f,NULL
ZFG,OAG,Doncaster/Sheffield Bus Station,53.38333,-1.5,0,t,NULL,5,en-us,f,NULL,f,NULL
ZFH,OAG,Milton Keynes Bus Station,52.16667,-0.7,0,t,NULL,5,en-us,f,NULL,f,NULL
ZFI,OAG,Chesterfield Bus Station,53.25,-1.41667,0,t,f,5,en-us,f,46570de4-3382-4016-9d8a-b955232fceca,f,NULL
ZFK,OAG,Guderup Bus Station,54.98333,9.88333,100,t,NULL,5,en-us,f,NULL,f,NULL
ZFX,OAG,Szczecin Bus Station,53.43333,14.56667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZFY,OAG,Katowice Bus Station,50.25,19,100,t,NULL,5,en-us,f,NULL,f,NULL
ZGB,OAG,Nottingham Bus Station,52.95917,-1.14861,0,t,NULL,5,en-us,f,NULL,t,NULL
ZGC,OAG,Zagreb Bus Station,45.80833,16.00722,100,t,NULL,5,en-us,f,NULL,t,NULL
ZHO,OAG,Houston Bus Station,54.39444,-126.66667,-800,t,f,5,en-us,f,593f16e3-a990-4064-96a0-a63475c851da,f,NULL
ZID,OAG,Aarhus Bus Service,56.15,10.21667,100,t,f,5,en-us,f,5e187511-66b5-40c2-8234-0de72f542897,f,NULL
ZIK,OAG,Karlovy Vary Bus Station,50.23028,12.86389,100,t,NULL,5,en-us,f,NULL,f,NULL
ZIL,OAG,Horsens Bus Station,55.87194,9.88111,100,t,NULL,5,en-us,f,NULL,f,NULL
ZIM,OAG,Odense Bus Station,55.4,10.36667,100,t,f,5,en-us,f,a7a03b4f-a23b-4aae-b3ee-79c529b4e875,f,NULL
ZIU,OAG,Zhuhai Bus Station,22.27889,113.56667,800,t,NULL,5,en-us,f,NULL,f,NULL
ZJD,OAG,Lenzerheide/Lai Bus Station,46.75,9.55,100,t,NULL,5,en-us,f,NULL,f,NULL
ZJO,OAG,San Jose Bus Station,37.35556,-121.91944,-800,t,f,5,en-us,f,d98b28de-5cce-4c6a-935f-11ccb312cafd,f,NULL
ZKI,OAG,Saas-Fee Bus Station,46.11667,7.91667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZKY,OAG,Verbier Bus Station,46.1,7.21667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZLG,OAG,Zalaegerszeg MA Bus Station,46.84472,16.84611,100,t,NULL,5,en-us,f,NULL,f,NULL
ZLV,OAG,Luosto Bus Station,61.35,26.08333,200,t,NULL,5,en-us,f,NULL,f,NULL
ZLZ,OAG,Leeds/Bradford Bus Station,53.83333,-1.58333,0,t,NULL,5,en-us,f,NULL,f,NULL
ZMA,OAG,Mansfield Bus Station,53.15,-1.18333,0,t,NULL,5,en-us,f,NULL,f,NULL
ZMC,OAG,Miedzyzdroje Bus Station,53.91667,14.45,100,t,NULL,5,en-us,f,NULL,f,NULL
ZMO,OAG,Modena Bus Station,44.66667,10.91667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZMR,OAG,Merano/Meran Bus Station,46.66667,11.15,100,t,NULL,5,en-us,f,NULL,f,NULL
ZMW,OAG,Brande Bus Station,55.95,9.11667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZNV,OAG,Koblenz Bus Station,50.35028,7.59028,100,t,NULL,5,en-us,f,NULL,f,NULL
ZPR,OAG,Rosenheim Bus Station,47.86694,12.03667,100,t,NULL,5,en-us,f,NULL,t,NULL
ZQY,OAG,Giessen Bus Station,50.56667,8.66667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZRC,OAG,San Pedro de Alcantara Bus Station,36.46667,-5,100,t,NULL,5,en-us,f,NULL,f,NULL
ZRG,OAG,Bratislava Bus Station,48.16667,17.21944,100,t,f,5,en-us,f,78946aa7-5900-41a7-9c6e-99bf7b6c986d,f,NULL
ZRK,OAG,Rockford Van Galder Bus Station,42.26667,-89.08333,-600,t,f,5,en-us,f,cb088bff-6b7a-4bdd-b2bc-399301afb3c6,f,NULL
ZRO,OAG,Reggio nell'Emilia Bus Station,44.71667,10.6,100,t,NULL,5,en-us,f,NULL,f,NULL
ZRW,OAG,Rastatt Bus Station,48.16667,8.16667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZRY,OAG,Herning Bus Station,56.13333,8.96667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZSH,OAG,Santa Fe Bus Station,35.68333,-105.95,-700,t,NULL,5,en-us,f,NULL,f,NULL
ZSL,OAG,Sligo Bus Station,54.28333,-8.46667,0,t,NULL,5,en-us,f,NULL,f,NULL
ZSM,OAG,Santa Clara Bus Station,37.35,-121.96667,-800,t,f,5,en-us,f,48af4c26-eaa2-4158-915b-c8f9f29743d3,f,NULL
ZSY,OAG,Phoenix Scottsdale Bus Station,33.45,-111.98333,-700,t,NULL,5,en-us,f,NULL,f,NULL
ZTC,OAG,Turin Bus Station,45.05,7.66667,100,t,NULL,5,en-us,f,NULL,f,NULL
ZTL,OAG,Telluride Bus Station,37.93806,-107.81389,-700,t,NULL,5,en-us,f,NULL,f,NULL
ZVC,OAG,Villarrica Bus Station,-39.31722,-72.22889,-400,t,NULL,5,en-us,f,NULL,f,NULL
ZVH,OAG,Al Ain Bus Station,24.22,55.76,400,t,NULL,5,en-us,f,NULL,t,NULL
ZVJ,OAG,Abu Dhabi Bus Station,24.47,54.33,400,t,t,5,en-us,f,f631dca3-3231-407b-8a17-d2a0f3e56ac8,t,NULL
