code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
AHM,OAG,Ashland,42.19028,-122.66056,-800,t,NULL,3,en-us,f,NULL,f,f
AHN,OAG,Athens Airport,33.94944,-83.32194,-500,t,t,1,en-us,f,019c5d8a-0408-4cf6-be80-13736a6b167b,t,f
AHO,OAG,Alghero Airport,40.63028,8.28972,100,t,t,2,en-us,f,b9dbe19a-0a66-4589-8ae4-d0a35f767618,t,f
AHS,OAG,Ahuas,15.44167,-84.425,-600,t,f,9,en-us,f,270ab875-d16c-4cca-a22f-45679c976471,f,f
AHU,OAG,Al Hoceima Airport,35.17722,-3.83944,0,t,t,2,en-us,f,db7f6cdb-1be8-47b6-8ae3-4b7929211ad3,t,f
AHW,OAG,Saih Rawl,21.34278,56.76556,400,t,NULL,3,en-us,f,NULL,f,f
AHY,OAG,Ambatolahy,-20.01667,45.53333,300,t,NULL,3,en-us,f,NULL,f,f
AHZ,OAG,L'Alpe-d'Huez,45.08833,6.08472,100,t,NULL,3,en-us,f,NULL,f,f
AIA,OAG,Alliance Airport,42.05194,-102.80778,-700,t,t,2,en-us,f,63c3f00d-4f78-4906-874d-cfae3f5f2d07,t,f
AIC,OAG,Airok Airport,7.065,171.27028,1200,t,NULL,3,en-us,f,NULL,t,f
AID,OAG,Anderson,40.1,-85.66667,-500,t,f,9,en-us,f,7bf8ac73-cf2e-4541-ada2-5f58299ab28c,f,f
AIE,OAG,Aiome,-5.13333,144.73333,1000,t,f,9,en-us,f,4fd87c0d-547d-4458-97d1-8400cd511af7,f,f
AIF,OAG,Assis,-22.66667,-50.41667,-300,t,f,9,en-us,f,1b6526d2-955b-4ee0-b9cd-32cf769e699f,f,f
AIG,OAG,Yalinga,6.51667,23.25,100,t,NULL,3,en-us,f,NULL,f,f
AIH,OAG,Aiambak,-7.34861,141.26667,1000,t,NULL,3,en-us,f,NULL,f,f
AII,OAG,Ali Sabieh,11.15,42.71667,300,t,NULL,3,en-us,f,NULL,f,f
AIK,OAG,Aiken,33.65,-81.68333,-500,t,f,9,en-us,f,846d7b63-34b5-4b2f-a9f8-baf4f9bb0f35,f,f
AIL,OAG,Ailigandi,9.23333,-78.01667,-500,t,NULL,3,en-us,f,NULL,f,f
AIM,OAG,Ailuk Island Airport,10.21694,169.98361,1200,t,NULL,3,en-us,f,NULL,t,f
AIN,OAG,Wainwright Airport,70.61361,-159.86694,-900,t,t,2,en-us,f,4d2e05b0-c2f0-438b-9b62-9269b6774159,t,f
AIO,OAG,Atlantic,41.4,-95.01667,-600,t,NULL,3,en-us,f,NULL,f,f
AIP,OAG,Ailinglapalap Island,7.26667,168.81667,1200,t,NULL,3,en-us,f,NULL,f,f
AIR,OAG,Aripuana,-10.25,-59.38333,-400,t,NULL,3,en-us,f,NULL,f,f
AIS,OAG,Arorae Airport,-2.61639,176.8025,1200,t,f,9,en-us,f,1952509e-1b3a-459d-ab84-d19ba63ce36d,t,f
AIT,OAG,Aitutaki Island Airport,-18.83111,-159.76472,-1000,t,t,2,en-us,f,ef868950-a850-45e3-be8c-e484ce50415a,t,f
AIU,OAG,Atiu Island Airport,-19.96667,-158.125,-1000,t,t,2,en-us,f,8deee3b6-cb0f-4eb4-92da-f69e1cf5cdc6,t,f
AIV,OAG,Aliceville,33.1,-88.2,-600,t,NULL,3,en-us,f,NULL,f,f
AIW,OAG,Ai-Ais,-27.98333,17.58333,100,t,NULL,3,en-us,f,NULL,f,f
AIZ,OAG,Kaiser/Lake of the Ozarks,38.1,-92.55,-600,t,f,9,en-us,f,305a80fe-f1c0-491a-80fe-41b968d21c35,f,f
AJA,OAG,Ajaccio Airport,41.92389,8.8025,100,t,t,2,en-us,f,b15174ed-3ee4-4d9a-b83b-25174ebe699c,t,f
AJF,OAG,Jouf Airport,29.785,40.1,300,t,t,2,en-us,f,0f55f287-8549-47b3-b601-689e064c19c2,t,f
AJI,OAG,Agri Airport,39.65389,43.02639,300,t,t,2,en-us,f,00736dc2-5894-426f-a64d-beba4859c74b,t,f
AJJ,OAG,Akjoujt,19.73333,-14.38333,0,t,NULL,3,en-us,f,NULL,f,f
AJK,OAG,Araak Airport,34.13806,49.84694,330,t,NULL,3,en-us,f,NULL,t,f
AJL,OAG,Aizawl Airport,23.83889,92.62028,530,t,t,2,en-us,f,939f852e-3a64-47e2-ab9f-99d2179b10a6,t,f
AJN,OAG,Anjouan Airport,-12.13111,44.42972,300,t,t,2,en-us,f,d77a421e-aab3-4b0b-a8ae-7310fe0c0f9e,t,f
AJR,OAG,Arvidsjaur Airport,65.59028,19.28194,100,t,t,2,en-us,f,fdad2453-bf4d-46c9-aa35-f1b4ce5d6dd2,t,f
AJS,OAG,Punta Abreojos,26.73333,-113.58333,-700,t,NULL,3,en-us,f,NULL,f,f
AJU,OAG,Aracaju Airport,-10.98389,-37.07028,-300,t,t,2,en-us,f,99141c69-e028-419c-9c7f-519629b184d4,t,f
AJY,OAG,Agadez Airport,16.9625,7.99028,100,t,f,9,en-us,f,db0744fe-bf01-46ca-94f9-842ae4400e08,t,f
